full_size_dir,unity_resize_dir,width,height,cosine_similarity
D:\vae_test_set\1920x1080\images\17741.jpg,D:\vae_test_set\1920x1080\64x64\17741.jpg,1920,1080,0.9997975644784644
D:\vae_test_set\1920x1080\images\14750.jpg,D:\vae_test_set\1920x1080\64x64\14750.jpg,1920,1080,0.9997809514797851
D:\vae_test_set\1920x1080\images\5465.jpg,D:\vae_test_set\1920x1080\64x64\5465.jpg,1920,1080,0.999749036420927
D:\vae_test_set\1920x1080\images\8699.jpg,D:\vae_test_set\1920x1080\64x64\8699.jpg,1920,1080,0.9997818995865209
D:\vae_test_set\1920x1080\images\25986.jpg,D:\vae_test_set\1920x1080\64x64\25986.jpg,1920,1080,0.9997615991410513
D:\vae_test_set\1920x1080\images\5903.jpg,D:\vae_test_set\1920x1080\64x64\5903.jpg,1920,1080,0.9997162105568651
D:\vae_test_set\1920x1080\images\27952.jpg,D:\vae_test_set\1920x1080\64x64\27952.jpg,1920,1080,0.999624937331036
D:\vae_test_set\1920x1080\images\28757.jpg,D:\vae_test_set\1920x1080\64x64\28757.jpg,1920,1080,0.9997031957831648
D:\vae_test_set\1920x1080\images\3685.jpg,D:\vae_test_set\1920x1080\64x64\3685.jpg,1920,1080,0.9997767930249529
D:\vae_test_set\1920x1080\images\22011.jpg,D:\vae_test_set\1920x1080\64x64\22011.jpg,1920,1080,0.9997696052128683
D:\vae_test_set\1920x1080\images\16163.jpg,D:\vae_test_set\1920x1080\64x64\16163.jpg,1920,1080,0.9996681128613055
D:\vae_test_set\1920x1080\images\10800.jpg,D:\vae_test_set\1920x1080\64x64\10800.jpg,1920,1080,0.9996660129462929
D:\vae_test_set\1920x1080\images\13108.jpg,D:\vae_test_set\1920x1080\64x64\13108.jpg,1920,1080,0.9997814382247154
D:\vae_test_set\1920x1080\images\15868.jpg,D:\vae_test_set\1920x1080\64x64\15868.jpg,1920,1080,0.9997894980447246
D:\vae_test_set\1920x1080\images\1751.jpg,D:\vae_test_set\1920x1080\64x64\1751.jpg,1920,1080,0.9997749345229552
D:\vae_test_set\1920x1080\images\4937.jpg,D:\vae_test_set\1920x1080\64x64\4937.jpg,1920,1080,0.9995950330404885
D:\vae_test_set\1920x1080\images\16061.jpg,D:\vae_test_set\1920x1080\64x64\16061.jpg,1920,1080,0.9998021099869692
D:\vae_test_set\1920x1080\images\23863.jpg,D:\vae_test_set\1920x1080\64x64\23863.jpg,1920,1080,0.9997855856446867
D:\vae_test_set\1920x1080\images\27982.jpg,D:\vae_test_set\1920x1080\64x64\27982.jpg,1920,1080,0.9997848074411162
D:\vae_test_set\1920x1080\images\3491.jpg,D:\vae_test_set\1920x1080\64x64\3491.jpg,1920,1080,0.9998167234946055
D:\vae_test_set\1920x1080\images\13945.jpg,D:\vae_test_set\1920x1080\64x64\13945.jpg,1920,1080,0.9997457913328868
D:\vae_test_set\1920x1080\images\26049.jpg,D:\vae_test_set\1920x1080\64x64\26049.jpg,1920,1080,0.9997581249295558
D:\vae_test_set\1920x1080\images\8283.jpg,D:\vae_test_set\1920x1080\64x64\8283.jpg,1920,1080,0.9996692808040616
D:\vae_test_set\1920x1080\images\10124.jpg,D:\vae_test_set\1920x1080\64x64\10124.jpg,1920,1080,0.9997835242983595
D:\vae_test_set\1920x1080\images\2185.jpg,D:\vae_test_set\1920x1080\64x64\2185.jpg,1920,1080,0.9998052558230253
D:\vae_test_set\1920x1080\images\18916.jpg,D:\vae_test_set\1920x1080\64x64\18916.jpg,1920,1080,0.9997405490070829
D:\vae_test_set\1920x1080\images\23827.jpg,D:\vae_test_set\1920x1080\64x64\23827.jpg,1920,1080,0.9998203659688861
D:\vae_test_set\1920x1080\images\25027.jpg,D:\vae_test_set\1920x1080\64x64\25027.jpg,1920,1080,0.9997330355960029
D:\vae_test_set\1920x1080\images\29782.jpg,D:\vae_test_set\1920x1080\64x64\29782.jpg,1920,1080,0.9998052492908472
D:\vae_test_set\1920x1080\images\25381.jpg,D:\vae_test_set\1920x1080\64x64\25381.jpg,1920,1080,0.9996530827006186
D:\vae_test_set\1920x1080\images\9518.jpg,D:\vae_test_set\1920x1080\64x64\9518.jpg,1920,1080,0.9997874093046648
D:\vae_test_set\1920x1080\images\1730.jpg,D:\vae_test_set\1920x1080\64x64\1730.jpg,1920,1080,0.999825185565501
D:\vae_test_set\1920x1080\images\28450.jpg,D:\vae_test_set\1920x1080\64x64\28450.jpg,1920,1080,0.9996152953196626
D:\vae_test_set\1920x1080\images\24901.jpg,D:\vae_test_set\1920x1080\64x64\24901.jpg,1920,1080,0.9998088895927723
D:\vae_test_set\1920x1080\images\23668.jpg,D:\vae_test_set\1920x1080\64x64\23668.jpg,1920,1080,0.9997892833917393
D:\vae_test_set\1920x1080\images\6260.jpg,D:\vae_test_set\1920x1080\64x64\6260.jpg,1920,1080,0.9994964306004195
